input,domain_label,intent_label
set one day prior reminder for my doctor appoinment,reminder,create reminder
What plays are going on this weekend,event,get event
snooze timer for 15 minutes,timer,update timer
Start the timer now.,timer,create timer
recent headlines on the New York Times please,news,get stories news
end the call,calling,end call
would you remind me on the 21 of September to wish my brother happy birthday?,reminder,create reminder
please remind me of any doctor appts. next week,reminder,get reminder
Place a call Personal Finance,calling,create call
Set up a reminder for Tim to call the dentist,reminder,create reminder
How many calories are in a slice of mozzarella cheese,recipes,get info recipes
How long do I bake a whole chicken,recipes,get info recipes
Let Chris know to pick up the cake before the party tonight.,messaging,send message
when is sunset,weather,get sunset
what's my reminder,reminder,get reminder
Set a reminder to walk the dog at 6 pm,reminder,create reminder
Set up an alarm for today at 7pm,alarm,create alarm
Would you please provide me some holiday recipes,recipes,get recipes
set alarm to ring at 12p every day,alarm,create alarm
Did Laila work for AT&T,people,get employer
check current news,news,get stories news
play water under the bridge adele,music,play music
Anyone of my friends is online now?,calling,get availability
Delete my lunch reminders.,reminder,delete reminder
set a reminder to deliver Maes Tupperware at 3pm on the 9th.,reminder,create reminder
Show Maragret Kopriva sisters in law birthdays,people,get contact
grab video messages from my life partner,messaging,get message
Tell me about Emily's friends.,people,get info contact
Anything happening in Baltimore tomorrow,event,get event
What's the weather like in Amsterdam in August,weather,get weather
"I dont want to miss the bus at 5am tomorrow, can you remind me 15 minutes before",reminder,create reminder
Are they calling for heavy showers today?,weather,get weather
video message Allie,messaging,send message
what is the latest white house news,news,get stories news
Repeat the last song,music,previous track music
Delete the reminder to let the dog out because he died,reminder,delete reminder
Delete all my existing alarms.,alarm,delete alarm
Play me some psychedelic music.,music,play music
I am not available right now,calling,set unavailable
Listen to Luke Bryan,music,play music
show me my weekly alarms,alarm,get alarm
Put my alarm to go right to snooze tomorrow morning,alarm,snooze alarm
Is it raining in Seattle?,weather,get weather
Tell me about Stephen's brother Daniel.,people,get info contact
What did Anderson Cooper cover last,news,question news
Sports even in hardy tomorrow,event,get event
what are the ingredients for kombucha tea,recipes,get info recipes
call My aunt Zackary Conley and my mother Angelo,calling,create call
what is the average temp here next week?,weather,get weather
Play popular club music,music,play music
How much time do I have until the alarm goes off,alarm,get alarm
Whats the location of Scott's work?,people,get location
Remind me to order that book tomorrow before 11am,reminder,create reminder
call my father River Robertson on WeChat,calling,create call
What time is my next reminder?,reminder,get reminder date time
let me see video messages from my grandson Adeline,messaging,get message
How many calories are in a red velvet cup cake,recipes,get info recipes
Set a reminder for 10am,reminder,create reminder
Send a message to Satapana that I will be at the wedding,messaging,send message
put up one timer for 17 minutes and another for four minutes and a another for 24 minutes,timer,create timer
Things to do in San Diego tonight,event,get event
What time did mum ring me when I was away?,calling,get call time
I want to make Baked Alaska,recipes,get recipes
Please play rap,music,play music
Read me my reminders for picking up my kids for after-school activities.,reminder,get reminder
Add 15 minutes to existing timer,timer,add time timer
Is my children online,calling,get availability
What is the most recent White House news,news,get stories news
Snooze Alarm please. 10 minutes,alarm,snooze alarm
How do you cook a whole turkey,recipes,get info recipes
how many servings in 10 cups of rice,recipes,get info recipes
Who do Mr. Teagle know that was born on October 14th?,people,get contact
Who graduated from Berkely?,people,get contact
What time did the school call me today?,calling,get call time
are there some punk bands having concerts this weekend in Georgia,event,get event
play Stone sour Song #3,music,play music
let's invite Mom to the call,calling,update call
Remind me of appointment with Dr. Khan on August 20.,reminder,create reminder
Is Sarah's birthday in August?,people,get age
How long did Li work at Apple?,people,get employment time
What temperature to bake a cake,recipes,get info recipes
end this call in 1 minute so that I can eat,calling,end call
read me the latest headline on the Russian investigation,news,get stories news
Do I need thermal underwear today?,weather,get weather
is idaho getting more than average rain,weather,get weather
Do I need long pants?,weather,get weather
How many calories are in a chocolate mousse,recipes,get info recipes
How many eggs do you need to make a cake,recipes,get info recipes
Is the sun going to come out?,weather,get weather
call my lass,calling,create call
How many reminders are set for October 7th?,reminder,get reminder amount
Remind me of the concert schedule.,reminder,create reminder
Fun stuff to do this weekend,event,get event
Tell me who is online that i know?,calling,get availability
can you turn clock on for 5:10,alarm,create alarm
does Noah still work at lax?,people,get employer
IS THERE A REMINDER FOR CHECKING CELL PHONE DATA USAGE?,reminder,get reminder
set my status as going to Solstice Parade,event,set rsvp yes
find me a recipe for garlic bread,recipes,get recipes
can you tell me how to cook roast beef,recipes,get recipes
Create Beyonce playlist,music,create playlist music
does the orchestra play tonight in sf,event,get event
tell me who is online that I know,calling,get availability
Set alarm to go off every 20 minutes.,alarm,create alarm
Create and alarm for 6am.,alarm,create alarm
list online family members.,calling,get availability
talk to me about shirley,people,get info contact
Add an alarm,alarm,create alarm
Please play sorry by Justin bieber,music,play music
When did Julie start working for Sam's Club?,people,get employment time
give Nora's aunt a call,calling,create call
show me video messages from my husband,messaging,get message
News right now,news,get stories news
please get rid of every reminder i had about bowling,reminder,delete reminder
Can you replay the last song?,music,previous track music
